Symbol,Communication Services,Consumer Discretionary,Consumer Staples,Energy,Financials,Health Care,Industrials,Information Technology,Materials,Real Estate,Utilities
MMM,0,0,0,0,0,0,1,0,0,0,0
AOS,0,0,0,0,0,0,1,0,0,0,0
ABT,0,0,0,0,0,1,0,0,0,0,0
ABBV,0,0,0,0,0,1,0,0,0,0,0
ABMD,0,0,0,0,0,1,0,0,0,0,0
ACN,0,0,0,0,0,0,0,1,0,0,0
ATVI,1,0,0,0,0,0,0,0,0,0,0
ADM,0,0,1,0,0,0,0,0,0,0,0
ADBE,0,0,0,0,0,0,0,1,0,0,0
ADP,0,0,0,0,0,0,0,1,0,0,0
AAP,0,1,0,0,0,0,0,0,0,0,0
AES,0,0,0,0,0,0,0,0,0,0,1
AFL,0,0,0,0,1,0,0,0,0,0,0
A,0,0,0,0,0,1,0,0,0,0,0
APD,0,0,0,0,0,0,0,0,1,0,0
AKAM,0,0,0,0,0,0,0,1,0,0,0
ALK,0,0,0,0,0,0,1,0,0,0,0
ALB,0,0,0,0,0,0,0,0,1,0,0
ARE,0,0,0,0,0,0,0,0,0,1,0
ALGN,0,0,0,0,0,1,0,0,0,0,0
ALLE,0,0,0,0,0,0,1,0,0,0,0
LNT,0,0,0,0,0,0,0,0,0,0,1
ALL,0,0,0,0,1,0,0,0,0,0,0
GOOGL,1,0,0,0,0,0,0,0,0,0,0
GOOG,1,0,0,0,0,0,0,0,0,0,0
MO,0,0,1,0,0,0,0,0,0,0,0
AMZN,0,1,0,0,0,0,0,0,0,0,0
AMCR,0,0,0,0,0,0,0,0,1,0,0
AMD,0,0,0,0,0,0,0,1,0,0,0
AEE,0,0,0,0,0,0,0,0,0,0,1
AAL,0,0,0,0,0,0,1,0,0,0,0
AEP,0,0,0,0,0,0,0,0,0,0,1
AXP,0,0,0,0,1,0,0,0,0,0,0
AIG,0,0,0,0,1,0,0,0,0,0,0
AMT,0,0,0,0,0,0,0,0,0,1,0
AWK,0,0,0,0,0,0,0,0,0,0,1
AMP,0,0,0,0,1,0,0,0,0,0,0
ABC,0,0,0,0,0,1,0,0,0,0,0
AME,0,0,0,0,0,0,1,0,0,0,0
AMGN,0,0,0,0,0,1,0,0,0,0,0
APH,0,0,0,0,0,0,0,1,0,0,0
ADI,0,0,0,0,0,0,0,1,0,0,0
ANSS,0,0,0,0,0,0,0,1,0,0,0
AON,0,0,0,0,1,0,0,0,0,0,0
APA,0,0,0,1,0,0,0,0,0,0,0
AAPL,0,0,0,0,0,0,0,1,0,0,0
AMAT,0,0,0,0,0,0,0,1,0,0,0
APTV,0,1,0,0,0,0,0,0,0,0,0
ACGL,0,0,0,0,1,0,0,0,0,0,0
ANET,0,0,0,0,0,0,0,1,0,0,0
AJG,0,0,0,0,1,0,0,0,0,0,0
AIZ,0,0,0,0,1,0,0,0,0,0,0
T,1,0,0,0,0,0,0,0,0,0,0
ATO,0,0,0,0,0,0,0,0,0,0,1
ADSK,0,0,0,0,0,0,0,1,0,0,0
AZO,0,1,0,0,0,0,0,0,0,0,0
AVB,0,0,0,0,0,0,0,0,0,1,0
AVY,0,0,0,0,0,0,0,0,1,0,0
BKR,0,0,0,1,0,0,0,0,0,0,0
BALL,0,0,0,0,0,0,0,0,1,0,0
BAC,0,0,0,0,1,0,0,0,0,0,0
BBWI,0,1,0,0,0,0,0,0,0,0,0
BAX,0,0,0,0,0,1,0,0,0,0,0
BDX,0,0,0,0,0,1,0,0,0,0,0
WRB,0,0,0,0,1,0,0,0,0,0,0
BRK-B,0,0,0,0,1,0,0,0,0,0,0
BBY,0,1,0,0,0,0,0,0,0,0,0
BIO,0,0,0,0,0,1,0,0,0,0,0
TECH,0,0,0,0,0,1,0,0,0,0,0
BIIB,0,0,0,0,0,1,0,0,0,0,0
BLK,0,0,0,0,1,0,0,0,0,0,0
BK,0,0,0,0,1,0,0,0,0,0,0
BA,0,0,0,0,0,0,1,0,0,0,0
BKNG,0,1,0,0,0,0,0,0,0,0,0
BWA,0,1,0,0,0,0,0,0,0,0,0
BXP,0,0,0,0,0,0,0,0,0,1,0
BSX,0,0,0,0,0,1,0,0,0,0,0
BMY,0,0,0,0,0,1,0,0,0,0,0
AVGO,0,0,0,0,0,0,0,1,0,0,0
BR,0,0,0,0,0,0,0,1,0,0,0
BRO,0,0,0,0,1,0,0,0,0,0,0
BF-B,0,0,1,0,0,0,0,0,0,0,0
CHRW,0,0,0,0,0,0,1,0,0,0,0
CDNS,0,0,0,0,0,0,0,1,0,0,0
CPT,0,0,0,0,0,0,0,0,0,1,0
CPB,0,0,1,0,0,0,0,0,0,0,0
