,NTRS_returns_volatility,AVY_returns_volatility,AFL_returns_volatility,REGN_returns_volatility,DAL_returns_volatility,COO_returns_volatility,CME_returns_volatility,BK_returns_volatility,O_returns_volatility,T_returns_volatility,PAYX_returns_volatility,VMC_returns_volatility,LUMN_returns_volatility,APA_returns_volatility,MSFT_returns_volatility,HAL_returns_volatility,ALK_returns_volatility,AKAM_returns_volatility,APTV_returns_volatility,C_returns_volatility,CMCSA_returns_volatility,KDP_returns_volatility,MPWR_returns_volatility,A_returns_volatility,MLM_returns_volatility,SCHW_returns_volatility,PEG_returns_volatility,NVDA_returns_volatility,PPG_returns_volatility,GPN_returns_volatility,CFG_returns_volatility,HST_returns_volatility,MU_returns_volatility,DVN_returns_volatility,TMUS_returns_volatility,UHS_returns_volatility,ABBV_returns_volatility,RCL_returns_volatility,SNPS_returns_volatility,BF-B_returns_volatility,PNC_returns_volatility,EQIX_returns_volatility,BR_returns_volatility,CSCO_returns_volatility,CRM_returns_volatility,EQT_returns_volatility,FIS_returns_volatility,ANET_returns_volatility,EXPD_returns_volatility,TRMB_returns_volatility
NTRS_returns_volatility,1.0,0.46308616607345077,0.49421291788085286,0.18686626982327129,0.5007035407250987,0.17115766777790742,0.4073579087457601,0.6734287686599457,0.41766687787125223,0.3219545276719777,0.4280266665294503,0.44759962074122217,0.2954790213396542,0.4425502281960773,0.29909231954823057,0.5189837527942415,0.4698454111630779,0.24848804014662684,0.49456803245824144,0.6606586276836538,0.3956819621576148,0.05342340901578552,0.3865263561620759,0.29954103709175894,0.4044597035209843,0.5449191456586886,0.44847536632302987,0.241532920744287,0.518573097247849,0.48296359342591316,0.6780444069562127,0.4535116123273974,0.4255877540656421,0.47421604293841774,0.26611046298639013,0.479542990815844,0.12071658770063813,0.5109543007533074,0.39861549927414036,0.26287258655322265,0.6478949551412871,0.21289832855577878,0.27691175842250243,0.29421334699322443,0.2511571949942384,0.297316179371963,0.4789007684342476,0.15280359494179113,0.34072127368477984,0.4964867537332745
AVY_returns_volatility,0.46308616607345077,1.0,0.2944630197698989,0.07410518516551153,0.3168826428617776,0.15893416497567267,0.13151184575595065,0.37302961435673426,0.19181924634077613,0.25620969997038723,0.44748936539541656,0.29170127674398705,0.195723505918536,0.38375289405042196,0.30696658817130695,0.37436895724952696,0.32133147710277354,0.253532692273516,0.23966684129204596,0.3696563542288446,0.5027807204119659,-0.0048441822099055025,0.3157616208818199,0.3678317396743599,0.2618693654868332,0.24013980900789472,0.36000068245218025,0.191704496934334,0.4234892047638909,0.4190620654519026,0.35276970485705494,0.35085623360415213,0.28762752777830264,0.4131924551257672,0.11430730011885787,0.2838700306195662,0.12655413909063948,0.3264475372049486,0.41506830845314396,0.37635141608662825,0.45553654160726387,0.1979307639001379,0.2655312515835946,0.2610623203176161,0.2790505022301806,0.23447969551475725,0.3510985723298591,0.08626601185527615,0.3037231502644226,0.2941663479504385
AFL_returns_volatility,0.49421291788085286,0.2944630197698989,1.0,0.3066560098754621,0.8079244598326308,0.35415276840798665,0.5120405182874167,0.5080926862332626,0.8366897867969126,0.31386248490315705,0.3841280970768122,0.6561011869269547,0.2561839140201979,0.691044808597158,0.1868393098845097,0.7830997207992589,0.7063888443953494,0.2760531800738612,0.8730809064943521,0.7233851760699352,0.2453130610413014,0.037461651117582345,0.300974912977435,0.11561725153254156,0.6192788085450261,0.2506021843574661,0.5676113459647739,0.32747411864201287,0.7743338828843831,0.5953872820442585,0.682240381732497,0.7525361586979468,0.47263948463864813,0.704751042482147,0.24045061827114902,0.7483785546608898,0.1822578545960714,0.8956024443025513,0.31585391029743837,0.24903593096893403,0.5463645505805632,0.11476082945740528,0.2812764526959677,0.10760845185522767,0.3836255446549668,0.3752857684753619,0.7324955247245513,0.07941501811231132,0.3323345121818917,0.7529370739216555
REGN_returns_volatility,0.18686626982327129,0.07410518516551153,0.3066560098754621,1.0,0.2898206240719858,0.10627475093115124,0.13981817376944372,0.2247790835829395,0.25397779957267286,0.1491274784619086,0.18641569168540026,0.2579478215286763,0.2210650034368205,0.20160678620840158,0.0875807918756592,0.22393822374408814,0.22515102551555363,0.16679928656186596,0.3222362354468007,0.36436562985138315,0.18469559549888118,-0.034603340091980773,0.22014161782042763,0.21295100317793408,0.2507239023568254,0.24550446249459093,0.1504803551323192,0.2374679821458946,0.226316297459153,0.31682339889407934,0.27186971134208,0.2726921182566659,0.23652947017172984,0.25209864065124765,0.17632311477095564,0.24752610462919303,0.32206027470966725,0.3179757920283222,0.1633990721146545,0.0815351360752262,0.1895641340314773,0.11507930908702682,0.08648077974671849,0.14596928594883773,0.15012298526201548,0.2232575815452297,0.27212166421949513,0.1013362968517419,0.14279453699213723,0.30397534082180133
DAL_returns_volatility,0.5007035407250987,0.3168826428617776,0.8079244598326308,0.2898206240719858,1.0,0.3458448407916414,0.4398602326171617,0.46324642854994624,0.7523946655283762,0.3738119080775773,0.3914206614667373,0.6502106139617199,0.23779562911251237,0.4983236078897782,0.1690659438965589,0.673137044179536,0.8501278873192041,0.26006052682908726,0.7681264190323209,0.6683020350298491,0.2657851383207173,0.048622171933882824,0.30569740853030425,0.11667448368351131,0.5961858043701426,0.2455329106720206,0.5075381137045802,0.2866009724147756,0.716351427065429,0.5618792392468213,0.6555141350946857,0.7365725369381552,0.4318812342681988,0.576066159889628,0.2503644657588402,0.7071817764869218,0.14103682817429952,0.7973100303278899,0.323196818494263,0.14507307904360986,0.5293160829430941,0.033531063095073164,0.24901471350312127,0.15394685866548663,0.3646979114842115,0.2589920787556335,0.6355051371036174,0.04617829835520269,0.2611558219965837,0.6732559653842072
COO_returns_volatility,0.17115766777790742,0.15893416497567267,0.35415276840798665,0.10627475093115124,0.3458448407916414,1.0,0.37167645883121075,0.15733928363550695,0.3639330001528021,0.07108710599010083,0.20143109753795835,0.3762392771924641,0.06815787598606182,0.18111365484349165,0.18916169572995903,0.2736791507656246,0.33061810932640384,0.11060938860315336,0.332133379862689,0.220904884526502,0.10600818759347234,0.02453492624164157,0.19004677989174334,0.1858969452790941,0.3208845801532472,0.09838587811629054,0.38414705645377417,0.19549107225448348,0.3727475642540957,0.31589230532309737,0.21900437821384725,0.1519058420534271,0.14023397717324926,0.2557301962259391,0.22287276019053728,0.36580523792339664,0.17002627805601866,0.26285741498734894,0.3100794528415425,0.20797978394928482,0.20409942976670842,0.050308959280050226,0.2135004388112386,0.12862289236399763,0.21669071334157072,0.1400116853392782,0.3146980414939173,0.05629202350056947,0.27419349229103895,0.3853527106685912
CME_returns_volatility,0.4073579087457601,0.13151184575595065,0.5120405182874167,0.13981817376944372,0.4398602326171617,0.37167645883121075,1.0,0.46681493518836403,0.5118224712308017,0.2474049897237428,0.25090914381351664,0.5108487191849288,0.23138087822141232,0.3161589640578662,0.16617919846108617,0.4460755759405809,0.4110434032811917,0.13662261805798379,0.4910646354770082,0.44797941338700026,0.04832968805602566,0.011130134248703181,0.2221518206435156,0.16449293229938827,0.481211809570637,0.209369383024304,0.40562499512448075,0.22561318719187853,0.41904343143167,0.37565201210685917,0.4873526443668372,0.3677859728193151,0.19374391742801242,0.441487627975747,0.26436354755629304,0.5216786729131797,0.20874092880858353,0.4202458100624928,0.33623881124539823,0.1294933934189175,0.4051208941659114,0.16264295821239994,0.25940559544060104,0.06015986931194235,0.16201864253869264,0.2829405581210187,0.47031418696148924,0.10658752404173216,0.3209487194054797,0.5153138476786249
BK_returns_volatility,0.6734287686599457,0.37302961435673426,0.5080926862332626,0.2247790835829395,0.46324642854994624,0.15733928363550695,0.46681493518836403,1.0,0.4052370031557761,0.3253699161391287,0.404594238222692,0.5270861479846906,0.2889085143352042,0.3957967721711684,0.3118527641068847,0.5218736101735378,0.4304297322021253,0.2552433567816626,0.5125309038819968,0.6715430292628702,0.28897662276085817,0.08224677951675578,0.4173746299167815,0.2964449088606506,0.48467396362002546,0.49227492830086844,0.4335737901014025,0.3135766458724579,0.5139776417055092,0.4272029801396058,0.7121844810194979,0.4752552603361412,0.4491686086415716,0.5226435151799614,0.24431472364997814,0.477476024946495,0.21925065408576966,0.4877456245251793,0.39417345991888314,0.18221453263179374,0.635722629379249,0.1784970339920276,0.21507697550168223,0.24531496107716413,0.27592018371435273,0.27965472045597556,0.4895512134175711,0.18242295064173059,0.3845512664005323,0.521684742389221
O_returns_volatility,0.41766687787125223,0.19181924634077613,0.8366897867969126,0.25397779957267286,0.7523946655283762,0.3639330001528021,0.5118224712308017,0.4052370031557761,1.0,0.29519841749437653,0.30834775520253327,0.5934435823683386,0.2990222885350702,0.5704871261350528,0.07959124715520184,0.6429941587387193,0.6831505028450957,0.26709639371183336,0.8056110970223491,0.59591008924875,0.1506837288114536,0.037539755632609514,0.19519018218959888,0.1351657179595054,0.5105791569150682,0.2434945233583015,0.572789176959288,0.25968387958297195,0.7056574274063679,0.4917846871775024,0.60593651844719,0.6366901836831775,0.3274065336187826,0.5936494918413817,0.21878893762725554,0.7566663508121478,0.17523293557072347,0.7747947752200368,0.2107423801719652,0.1701163417961043,0.47256520486147874,0.14638833546895694,0.2534282738482889,0.1030077865102761,0.3118352972850276,0.3477951337872012,0.6639735815925866,0.018243121252927784,0.2722721630548189,0.6795725905173534
T_returns_volatility,0.3219545276719777,0.25620969997038723,0.31386248490315705,0.1491274784619086,0.3738119080775773,0.07108710599010083,0.2474049897237428,0.3253699161391287,0.29519841749437653,1.0,0.22908337620985944,0.2698059872318127,0.2987671861116205,0.26106280141653937,0.20573832991778024,0.3585921810734802,0.3387095245804135,0.1797165427977838,0.3056400833504112,0.3644734685968211,0.35224292074725416,0.08493208542942332,0.2119860208105634,0.18955382729670212,0.3427378677935259,0.13803915604728392,0.2390216028458785,0.22345962608348097,0.29192206003772037,0.2665186127782164,0.33011425507654035,0.4120636173038268,0.14333552711107067,0.2825017447065571,0.13701160063254378,0.3158393289267707,0.14783412257138018,0.417378908060229,0.15566640490705763,0.19862456589551,0.28292986709785856,0.166377368914598,0.13883233125150765,0.09211171490128181,0.1589037191169403,0.08877194600704762,0.3104072350272588,-0.03929109275494017,0.20121674185614133,0.2528398463286484
