,NTRS_returns_volatility,AVY_returns_volatility,AFL_returns_volatility,REGN_returns_volatility,DAL_returns_volatility,COO_returns_volatility,CME_returns_volatility,BK_returns_volatility,O_returns_volatility,T_returns_volatility,PAYX_returns_volatility,VMC_returns_volatility,LUMN_returns_volatility,APA_returns_volatility,MSFT_returns_volatility,HAL_returns_volatility,ALK_returns_volatility,AKAM_returns_volatility,APTV_returns_volatility,C_returns_volatility,CMCSA_returns_volatility,KDP_returns_volatility,MPWR_returns_volatility,A_returns_volatility,MLM_returns_volatility,SCHW_returns_volatility,PEG_returns_volatility,NVDA_returns_volatility,PPG_returns_volatility,GPN_returns_volatility,CFG_returns_volatility,HST_returns_volatility,MU_returns_volatility,DVN_returns_volatility,TMUS_returns_volatility,UHS_returns_volatility,ABBV_returns_volatility,RCL_returns_volatility,SNPS_returns_volatility,BF-B_returns_volatility,PNC_returns_volatility,EQIX_returns_volatility,BR_returns_volatility,CSCO_returns_volatility,CRM_returns_volatility,EQT_returns_volatility,FIS_returns_volatility,ANET_returns_volatility,EXPD_returns_volatility,TRMB_returns_volatility
NTRS_returns_volatility,0.0006140657242251198,0.00025763541588854304,0.0005455414532499583,0.0001564011053840158,0.0006251542205715075,9.786831001237874e-05,0.00023202047776933152,0.000375037562191388,0.000422674082154058,0.0001494103269186468,0.00019617153545257342,0.000406841734515065,0.0002573571970132917,0.0009349957626983067,0.00015838389453839402,0.0007681720407845165,0.0005126733093854114,0.00019111994070698788,0.0007029123690586663,0.0005542151161101941,0.00022215636149537125,0.0004433398461222125,0.00027306914843245065,0.00018397025326985882,0.00034077289516794507,0.00033493191455469186,0.00023174741757844378,0.0002536811416386071,0.0003760577131294308,0.0003416746588258741,0.0006018210675222124,0.00045243674627404285,0.00047446058969487443,0.0006543927326776659,0.0001462253106786507,0.0004984354029277085,8.799611692354627e-05,0.0011951350024909386,0.00022004237720545816,0.00013178719642499686,0.00039543525330979574,0.00011832298237423642,0.00014034159760802293,0.00015819092379640155,0.000198034881107433,0.00034082238334282874,0.00030810510017113346,0.0001465733458113387,0.00015215833713195766,0.0005102547698928161
AVY_returns_volatility,0.00025763541588854304,0.0005040488808943704,0.0002944918796086936,5.6193540722833075e-05,0.00035845435041283126,8.233640343257881e-05,6.786470044544664e-05,0.00018821546803135023,0.00017587198354695243,0.00010772352245476753,0.00018581329398069464,0.00024021660036487377,0.0001544477377732477,0.0007345606106344526,0.00014727389169508407,0.0005020343840942256,0.00031766391780693807,0.0001766702316758102,0.0003086114218498225,0.00028094954364354724,0.0002557525756886467,-3.642122410735018e-05,0.0002021071905959361,0.00020467715768654146,0.0001998956667613331,0.00013372651442872455,0.0001685421513794999,0.00018242025141626775,0.0002782375633666937,0.00026859976200375177,0.00028368046464536984,0.00031712286376672067,0.00029051620930172775,0.000516587040801281,5.690670872222791e-05,0.0002673189693205058,8.357989288971436e-05,0.0006917946555790275,0.00020758722392250634,0.00017094262717291307,0.000251896947915827,9.966417031495256e-05,0.00012192410049626358,0.00012717222928318884,0.0001993461146402073,0.0002435250865313057,0.0002046497960006523,7.49704382419956e-05,0.0001228862517678978,0.0002739058419217259
AFL_returns_volatility,0.0005455414532499583,0.0002944918796086936,0.0019843234738636997,0.00046138045059106116,0.0018133267497797883,0.00036402832432641877,0.0005242679386152756,0.0005086567964920192,0.0015220848271037732,0.0002618329473629393,0.00031647546447974984,0.0010720262440999306,0.0004011070811883945,0.0026245333095345946,0.0001778577598556196,0.002083630038118378,0.0013855696346711497,0.00038167355702912754,0.0022306346371505346,0.001090861633143463,0.000247589361314769,0.0005588443832073838,0.00038222811402728666,0.00012764762090169816,0.0009379394663049241,0.00027689054349111655,0.000527261650393562,0.0006182834746878985,0.0010094192627585455,0.0007571758180232614,0.001088542718596887,0.0013495706895619566,0.0009471959403142516,0.001748222715685628,0.0002375118634027487,0.0013983035972494513,0.00023882600709717623,0.0037657283142490117,0.00031342758138077275,0.00022443404612633233,0.0005994488152523815,0.00011465403436879083,0.0002562578638774027,0.00010400743392113265,0.0005437539096011849,0.000773339989013398,0.0008471437981898666,0.0001369376515842506,0.00026679074120620664,0.0013910312790908178
REGN_returns_volatility,0.0001564011053840158,5.6193540722833075e-05,0.00046138045059106116,0.0011407827534177808,0.0004932076876705792,8.282660680263892e-05,0.00010854450305182427,0.00017062121999753056,0.0003503203641468187,9.432738583422411e-05,0.00011645058541990905,0.0003195668316107068,0.0002624361792230618,0.0005805588708012756,6.321333007667551e-05,0.00045178000729893586,0.0003348526134253688,0.00017485930384165466,0.0006242284590043773,0.00041661289186208924,0.00014133934847944933,-0.0003913967678571623,0.00021197747866834866,0.0001782645603817593,0.0002879251279884974,0.00020567329256923912,0.00010598640530561336,0.000339946799917721,0.0002236940294752884,0.0003054989128504752,0.0003289001866383647,0.00037079689539202946,0.00035941013971000724,0.0004741620308695123,0.00013205775086984006,0.0003506682020650387,0.0003199836304348791,0.0010137316589595151,0.00012294072727839998,5.571431125100462e-05,0.00015769611796125334,8.717423535863075e-05,5.973909793498324e-05,0.00010697313416409716,0.00016133823624517608,0.0003488267861913722,0.0002386220194847555,0.00013248920817748286,8.691648217070487e-05,0.000425806028993762
DAL_returns_volatility,0.0006251542205715075,0.00035845435041283126,0.0018133267497797883,0.0004932076876705792,0.002538622666200951,0.00040208574697074936,0.000509397151597569,0.0005245499255610448,0.0015481496482329233,0.0003527206282814127,0.00036475441668907025,0.0012016596826589627,0.0004211193350890436,0.00214067227436203,0.0001820344302060553,0.002025815425074725,0.001886086599879306,0.000406692906518896,0.0022197266446634064,0.0011398972026926033,0.00030341345981622393,0.0008204104277265213,0.00043911364121346506,0.0001456997522027511,0.0010213228867358324,0.00030684978651668624,0.0005332570670427546,0.0006120419050492928,0.0010562392378690852,0.0008082263574583131,0.0011829951335606834,0.0014940895532910576,0.0009789646355183158,0.001616315872251356,0.0002797209148646003,0.0014945279565919832,0.0002090358323684141,0.003791872997479303,0.0003627528825791177,0.00014787896341888403,0.000656867121287318,3.789097905224247e-05,0.00025660296834777434,0.00016829905264849256,0.0005846837078883596,0.000603653461804035,0.0008313120339725966,9.006395273904435e-05,0.000237130743655774,0.0014068612432589802
COO_returns_volatility,9.786831001237874e-05,8.233640343257881e-05,0.00036402832432641877,8.282660680263892e-05,0.00040208574697074936,0.0005324472656820192,0.00019712699029212583,8.159266950060261e-05,0.00034294769813300195,3.071905032059843e-05,8.596517582141604e-05,0.00031844232852918606,5.527854280501781e-05,0.00035631092654759216,9.327598150915274e-05,0.00037720489477510884,0.00033592569824799875,7.921790907665052e-05,0.0004395603813393963,0.00017255893314510398,5.542207515326876e-05,0.00018959234475084317,0.0001250215592318626,0.00010631496552629292,0.00025175001491266715,5.6310333996048295e-05,0.000184843716544669,0.00019119197138935042,0.00025170405061065277,0.00020809818612042928,0.00018100597789422198,0.00014111552873147655,0.00014557779757369462,0.0003286057128794549,0.00011403770433792225,0.0003540479844149656,0.00011541000972464929,0.000572513868961528,0.0001593881420242297,9.709121046696247e-05,0.00011599611652527938,2.6035927970934304e-05,0.00010075686886129843,6.439740027385926e-05,0.00015909892285897,0.00014945302895734558,0.00018852904422470639,5.0280450736269035e-05,0.00011402091402030127,0.00036878113590394033
CME_returns_volatility,0.00023202047776933152,6.786470044544664e-05,0.0005242679386152756,0.00010854450305182427,0.000509397151597569,0.00019712699029212583,0.0005283059134747139,0.00024113661025031206,0.00048043013346722816,0.00010649515278485175,0.0001066637775938323,0.0004306886270652224,0.00018692717329450655,0.0006195664340257712,8.162397194395697e-05,0.0006124187608575088,0.00041601473051314236,9.746718477646036e-05,0.0006473648443133303,0.00034857370318250265,2.5168758915941863e-05,8.567238930589227e-05,0.00014557228794327833,9.370738686557238e-05,0.00037606366079079745,0.00011936388506095065,0.00019441793528618962,0.00021979187742936213,0.00028186351478514093,0.0002465014068476741,0.00040122490534285797,0.0003403297601781532,0.00020034310743071614,0.0005650879814455687,0.00013474029098591798,0.0005029441074897012,0.00014113654329809145,0.0009117454542266178,0.00017216120592189785,6.021585262717662e-05,0.00022934577087901876,8.384311945488541e-05,0.00012194378359821077,3.0002772115973827e-05,0.00011849400121173896,0.00030084311669050423,0.000280657556947252,9.483379086078857e-05,0.0001329436069517614,0.0004912318618992244
BK_returns_volatility,0.000375037562191388,0.00018821546803135023,0.0005086567964920192,0.00017062121999753056,0.0005245499255610448,8.159266950060261e-05,0.00024113661025031206,0.0005050697364871116,0.0003719229023536389,0.00013694044012233628,0.00016817177311003256,0.0004344958524919756,0.00022821188166114776,0.0007583812144191088,0.0001497695757608335,0.000700548673599089,0.00042594764962339005,0.0001780423031674215,0.0006606378410172823,0.0005109087567331615,0.0001471443047708552,0.000619002374899891,0.0002674162628869281,0.00016512145934474866,0.00037034605266882315,0.0002744103119342915,0.00020319245422440772,0.0002986921477848417,0.0003380313582810378,0.00027409486151245107,0.0005732842356940621,0.0004299962183412417,0.00045413885749104777,0.0006540877814933209,0.00012175266824971612,0.0004500918498305074,0.00014494582148604016,0.0010346573185109373,0.00019733665907792564,8.28474560011958e-05,0.00035188981908283875,8.99696652901445e-05,9.885694476993345e-05,0.00011962211368373539,0.0001973094033771581,0.00029073677262928796,0.00028564046395009507,0.0001586971585057397,0.00015574675028833052,0.0004862457151872706
O_returns_volatility,0.000422674082154058,0.00017587198354695243,0.0015220848271037732,0.0003503203641468187,0.0015481496482329233,0.00034294769813300195,0.00048043013346722816,0.0003719229023536389,0.0016677705782293683,0.0002257671910736848,0.00023289849451305295,0.0008889471678417293,0.00042921407246038093,0.001986340271680623,6.94595223480799e-05,0.0015684565319451877,0.001228465137952417,0.000338555022658336,0.001886953985643451,0.0008238397071403317,0.0001394246572585177,0.0005134017392888704,0.00022725435702347188,0.00013681022539108336,0.0007089467114982555,0.00024664617692120495,0.00048778881643891356,0.00044948744617953325,0.0008433331283780693,0.0005733688604392507,0.0008863333722755679,0.0010467870430981275,0.0006015324890266324,0.0013500599421388735,0.0001981283794513675,0.0012961237873002531,0.00021051013973160242,0.0029866361402660735,0.00019171882264733272,0.00014055123995901117,0.00047532784130475573,0.0001340800163003242,0.00021167073109434127,9.127460710204739e-05,0.00040521178330240893,0.0006570429998532327,0.0007039873883599175,2.883907324654537e-05,0.00020038281351757043,0.0011510017576697887
T_returns_volatility,0.0001494103269186468,0.00010772352245476753,0.0002618329473629393,9.432738583422411e-05,0.0003527206282814127,3.071905032059843e-05,0.00010649515278485175,0.00013694044012233628,0.0002257671910736848,0.000350717390666673,7.934689961261705e-05,0.0001853354908002659,0.00019665898122516492,0.00041683414788842854,8.233645970759188e-05,0.0004011222678406007,0.0002793086269855482,0.00010446234939473846,0.00032828926080134894,0.00023106725131240193,0.00014946035074496757,0.0005326576625886629,0.00011318059389264909,8.798224858894772e-05,0.00021823434413858908,6.412065981247465e-05,9.334363018083989e-05,0.00017737080635359204,0.0001599862487966702,0.0001424941849895263,0.0002214342265905511,0.0003106740304379163,0.00012076361125401375,0.0002946148150303042,5.68969733361884e-05,0.0002480954302010057,8.144088186862946e-05,0.0007377965631035013,6.494089426636129e-05,7.525443579162508e-05,0.0001305030927238495,6.988151797974315e-05,5.3174921480733206e-05,3.742874642540863e-05,9.468939727050149e-05,7.6905345651765e-05,0.00015092334116981936,-2.848306752989985e-05,6.790970403318481e-05,0.00019637949877014007
