Symbol,Communication Services,Consumer Discretionary,Consumer Staples,Energy,Financials,Health Care,Industrials,Information Technology,Materials,Real Estate,Utilities
ABBV,0,0,0,0,0,1,0,0,0,0,0
AFL,0,0,0,0,1,0,0,0,0,0,0
A,0,0,0,0,0,1,0,0,0,0,0
AKAM,0,0,0,0,0,0,0,1,0,0,0
ALK,0,0,0,0,0,0,1,0,0,0,0
APA,0,0,0,1,0,0,0,0,0,0,0
APTV,0,1,0,0,0,0,0,0,0,0,0
ANET,0,0,0,0,0,0,0,1,0,0,0
T,1,0,0,0,0,0,0,0,0,0,0
AVY,0,0,0,0,0,0,0,0,1,0,0
BK,0,0,0,0,1,0,0,0,0,0,0
BR,0,0,0,0,0,0,0,1,0,0,0
BF-B,0,0,1,0,0,0,0,0,0,0,0
SCHW,0,0,0,0,1,0,0,0,0,0,0
CSCO,0,0,0,0,0,0,0,1,0,0,0
C,0,0,0,0,1,0,0,0,0,0,0
CFG,0,0,0,0,1,0,0,0,0,0,0
CME,0,0,0,0,1,0,0,0,0,0,0
CMCSA,1,0,0,0,0,0,0,0,0,0,0
COO,0,0,0,0,0,1,0,0,0,0,0
DAL,0,0,0,0,0,0,1,0,0,0,0
DVN,0,0,0,1,0,0,0,0,0,0,0
EQT,0,0,0,1,0,0,0,0,0,0,0
EQIX,0,0,0,0,0,0,0,0,0,1,0
EXPD,0,0,0,0,0,0,1,0,0,0,0
FIS,0,0,0,0,0,0,0,1,0,0,0
GPN,0,0,0,0,0,0,0,1,0,0,0
HAL,0,0,0,1,0,0,0,0,0,0,0
HST,0,0,0,0,0,0,0,0,0,1,0
KDP,0,0,1,0,0,0,0,0,0,0,0
LUMN,1,0,0,0,0,0,0,0,0,0,0
MLM,0,0,0,0,0,0,0,0,1,0,0
MU,0,0,0,0,0,0,0,1,0,0,0
MSFT,0,0,0,0,0,0,0,1,0,0,0
MPWR,0,0,0,0,0,0,0,1,0,0,0
NTRS,0,0,0,0,1,0,0,0,0,0,0
NVDA,0,0,0,0,0,0,0,1,0,0,0
PAYX,0,0,0,0,0,0,0,1,0,0,0
PNC,0,0,0,0,1,0,0,0,0,0,0
PPG,0,0,0,0,0,0,0,0,1,0,0
PEG,0,0,0,0,0,0,0,0,0,0,1
O,0,0,0,0,0,0,0,0,0,1,0
REGN,0,0,0,0,0,1,0,0,0,0,0
RCL,0,1,0,0,0,0,0,0,0,0,0
CRM,0,0,0,0,0,0,0,1,0,0,0
SNPS,0,0,0,0,0,0,0,1,0,0,0
TMUS,1,0,0,0,0,0,0,0,0,0,0
TRMB,0,0,0,0,0,0,0,1,0,0,0
UHS,0,0,0,0,0,1,0,0,0,0,0
VMC,0,0,0,0,0,0,0,0,1,0,0
