,NTRS_returns_volatility,AVY_returns_volatility,AFL_returns_volatility,REGN_returns_volatility,DAL_returns_volatility,COO_returns_volatility,CME_returns_volatility,BK_returns_volatility,O_returns_volatility,T_returns_volatility,PAYX_returns_volatility,VMC_returns_volatility,LUMN_returns_volatility,APA_returns_volatility,MSFT_returns_volatility,HAL_returns_volatility,ALK_returns_volatility,AKAM_returns_volatility,APTV_returns_volatility,C_returns_volatility,CMCSA_returns_volatility,KDP_returns_volatility,MPWR_returns_volatility,A_returns_volatility,MLM_returns_volatility,SCHW_returns_volatility,PEG_returns_volatility,NVDA_returns_volatility,PPG_returns_volatility,GPN_returns_volatility,CFG_returns_volatility,HST_returns_volatility,MU_returns_volatility,DVN_returns_volatility,TMUS_returns_volatility,UHS_returns_volatility,ABBV_returns_volatility,RCL_returns_volatility,SNPS_returns_volatility,BF-B_returns_volatility,PNC_returns_volatility,EQIX_returns_volatility,BR_returns_volatility,CSCO_returns_volatility,CRM_returns_volatility,EQT_returns_volatility,FIS_returns_volatility,ANET_returns_volatility,EXPD_returns_volatility,TRMB_returns_volatility
NTRS_returns_volatility,0.00061088253684942,0.0002549896148063584,0.0005412743545427653,0.00015391630436997154,0.0006205785111574782,9.622664731195078e-05,0.0002319796181270176,0.0003733052546016266,0.0004206192277515238,0.00014723500474825708,0.0001940863139840618,0.00040413070702182216,0.00025766108594691057,0.0009269428351852456,0.00015635314133802226,0.0007630525947577231,0.0005075190545584141,0.00019050364496711275,0.0006981626642081749,0.0005490540115492653,0.00021952877481445408,0.00043851071991797433,0.0002700511939312216,0.00018328048806224328,0.0003433703438616639,0.0003325381398265904,0.00023138700125834876,0.00025092291698769123,0.00037342963767696385,0.0003376916725008487,0.0005969701452230382,0.00044888153375204857,0.0004699222373490838,0.0006476966597119344,0.00014494023844516642,0.0004932801376233945,8.749203281907926e-05,0.0011857906695468849,0.0002177143992642729,0.0001296947194082158,0.0003914576936835411,0.0001178239674710266,0.0001388825213236002,0.00015979230983161435,0.0001981246606152799,0.0003395672781335174,0.0003055270675508373,0.0001448885017498681,0.0001505995308467303,0.0005063854326834699
AVY_returns_volatility,0.0002549896148063584,0.0005023519474755006,0.00029384457876583043,5.800596316383186e-05,0.00035726308174778207,8.283765860125755e-05,6.58903680694233e-05,0.00018666748065799318,0.0001735323216137365,0.00010868388779267916,0.00018608805902935123,0.00023936155175966105,0.00015115040805791877,0.0007335478923623611,0.00014793880912518893,0.0004986758566736951,0.00031873601050993653,0.00017288661742251643,0.0003079281470765737,0.00028116240221947854,0.00025568696746381683,-3.3283449618100685e-05,0.00020245293555467832,0.00020278296389960403,0.0001941344221877751,0.00013383805201842895,0.00016634664357979766,0.00018221660850876022,0.00027661368373016134,0.0002691777578647191,0.00028356277694852695,0.0003136925773763007,0.00028952971225004254,0.0005165941780076342,5.655665840717708e-05,0.00026819617914373647,8.352445707954166e-05,0.000689538133171288,0.00020723792062250044,0.00017143437536266333,0.00025237583425208565,9.864798558801412e-05,0.00012233260966075827,0.00012211802058766097,0.0001959549329264365,0.00024197353520398425,0.00020419749905523562,7.598110126739112e-05,0.00012221176896662223,0.00027369962978144815
AFL_returns_volatility,0.0005412743545427653,0.00029384457876583043,0.0019723938859241134,0.000460067448153964,0.0018024507663758158,0.0003623787616380615,0.0005197666582296049,0.0005052204103222892,0.001511182403904624,0.0002613996009943708,0.0003156231647748094,0.0010656934351098955,0.00039682004072062456,0.002610500446795776,0.00017799254628097393,0.002069910580041835,0.001379056151069342,0.0003768203732275335,0.0022172966387699875,0.0010852881902410185,0.0002471991204432919,0.00055746061001349,0.00038100076995761735,0.00012641627095126722,0.0009288247728958563,0.00027597381467635193,0.0005230744102152311,0.0006148967949154346,0.0010029631317395162,0.0007540000404496132,0.001082851203098081,0.0013392824502759886,0.0009414951042675149,0.0017393991745492273,0.0002358917060111183,0.0013911774207596064,0.0002377564652515401,0.003742881347698648,0.0003121082976542045,0.0002241830918238481,0.0005971998030228095,0.0001136277063835601,0.0002555965413704756,9.997556148074209e-05,0.0005385642139676007,0.0007685864332963507,0.0008423064277332187,0.00013729036214957493,0.0002650185926230734,0.001383319432760966
REGN_returns_volatility,0.00015391630436997154,5.800596316383186e-05,0.000460067448153964,0.0011363904529416728,0.0004914336203122091,8.392829432126091e-05,0.00010541533344408126,0.0001687570646325958,0.0003464121006106161,9.609939635193522e-05,0.00011766545476330096,0.0003182274294850062,0.00025723560704512345,0.000581730551521317,6.503011218983515e-05,0.0004488085954432455,0.00033690459423481165,0.00017069735273394373,0.0006215813131582018,0.000416868121607547,0.00014273149600323067,-0.0003847712544749637,0.00021300337597562985,0.00017623404730978282,0.00027868445271042646,0.00020544139137448255,0.00010350485668189655,0.0003393756629108284,0.00022252924841416493,0.0003068922279181247,0.000329043195997147,0.0003673671709412306,0.00035883661398831946,0.00047590768876299734,0.00013141348235205238,0.0003521467367790415,0.0003183428206812596,0.0010102975481535062,0.00012368108980201857,5.77023538398595e-05,0.00015963296888592588,8.607405169428098e-05,6.0883358927307085e-05,0.00010045661404577687,0.00015735868064539632,0.0003460058735336881,0.00023828897470569505,0.00013356518507861068,8.681498651356065e-05,0.0004249335652686415
DAL_returns_volatility,0.0006205785111574782,0.00035726308174778207,0.0018024507663758158,0.0004914336203122091,0.0025230256560411553,0.000399901930125911,0.0005054135120091214,0.0005213202506127098,0.0015371658458538237,0.00035145566220237413,0.0003635198837976897,0.0011946281555762657,0.0004172111001017253,0.0021296869247848897,0.00018200519956427215,0.0020124013216712804,0.001876103555411632,0.00040136915891700315,0.0022067053374634836,0.0011336767095111932,0.00030241888429380744,0.0008169881404889065,0.0004372588519922166,0.00014449040240762872,0.0010131738910349605,0.00030586998591692466,0.0005293850998221665,0.0006083448269479885,0.001049433082139262,0.0008043464131265897,0.0011766187606689622,0.0014821975715682797,0.000972503633749756,0.001607881205507504,0.00027765202691891846,0.001486394280911548,0.00020832073648564467,0.0037685850702784737,0.00036087854310379286,0.00014785958930864937,0.0006540139810306084,3.7424722739532494e-05,0.00025594397328471374,0.0001642298883108421,0.0005794596739676579,0.0006005452464872467,0.0008264914670339564,9.070041528393968e-05,0.00023527881643999713,0.001399148114198345
COO_returns_volatility,9.622664731195078e-05,8.283765860125755e-05,0.0003623787616380615,8.392829432126091e-05,0.000399901930125911,0.000530206912032036,0.00019401294104118413,8.006239355312152e-05,0.00033994519667260574,3.1895663430252356e-05,8.62319749251578e-05,0.0003162591279931517,5.2517411597349586e-05,0.0003559388083853427,9.374861164161164e-05,0.00037490677781183197,0.00033564033859003503,7.841280089434644e-05,0.0004365852100686216,0.00017322110112514134,5.6417170892503015e-05,0.0001905176562417818,0.0001256327807386022,0.00010499202306568234,0.00024399712933320384,5.600121982105037e-05,0.00018218150926525527,0.00019134185631427183,0.00025026492201201566,0.00020877270714052374,0.000180760830512973,0.00014143023765828976,0.00014654997060823058,0.00032923111181624526,0.00011378018806208213,0.00035391673705476105,0.00011442592729879093,0.0005704990320337049,0.00015942603144761784,9.789638420204144e-05,0.00011679050019560196,2.554649700342533e-05,0.0001006070005217467,6.109028552494853e-05,0.00015651055023133004,0.00014700945546389593,0.00018791958718829873,5.0663462214331086e-05,0.0001140886049668417,0.0003667731414719773
CME_returns_volatility,0.0002319796181270176,6.58903680694233e-05,0.0005197666582296049,0.00010541533344408126,0.0005054135120091214,0.00019401294104118413,0.0005275414623604595,0.00024102870590301644,0.000478410847451785,0.00010377062117540887,0.0001047461920912897,0.00042802359450927637,0.0001892395828680289,0.0006126351429426359,7.949656982187346e-05,0.0006081697153269916,0.00041048236807309494,9.725361611387427e-05,0.0006432840605918271,0.0003436593184984109,2.3005318783824165e-05,8.19247749193403e-05,0.00014251730232901872,9.401985773264856e-05,0.0003825998046478004,0.0001184968265792872,0.00019528856477567117,0.00021629436876937158,0.00027971790641790804,0.00024189388762965486,0.0003972211977805914,0.00033628397896821746,0.0001962008829988248,0.0005573105739572684,0.00013314128523910868,0.0004964422941417583,0.00014055236160287645,0.0009032428328973996,0.00016944601895975937,5.7701971451341084e-05,0.0002255603369179625,8.376529905303648e-05,0.00012039756429101999,3.405730529264568e-05,0.00012000005131368602,0.00030103667639714887,0.00027790603892037486,9.316584251533427e-05,0.00013087761059072788,0.00048742852575405757
BK_returns_volatility,0.0003733052546016266,0.00018666748065799318,0.0005052204103222892,0.0001687570646325958,0.0005213202506127098,8.006239355312152e-05,0.00024102870590301644,0.0005029401333492731,0.00036971007679724704,0.00013530131169885043,0.0001669730933008917,0.00043230910882689994,0.000228453519541029,0.0007533834584463904,0.00014843413422667025,0.0006956801884391617,0.00042273114889081746,0.00017540567461027195,0.0006574151033909452,0.0005065212030080592,0.00014542489969882795,0.0006139900977217971,0.0002648544895497451,0.00016452605436738046,0.00037331247804250076,0.00027323742380566104,0.00020312316090035094,0.0002954825632126083,0.0003356720013928182,0.0002711149631961939,0.0005694609579845845,0.00042448206171261425,0.00044912366269188076,0.0006483377449519485,0.00012028832977745579,0.0004459614005827548,0.00014467097509698182,0.0010270888691444075,0.00019525158069460893,8.143486007563272e-05,0.0003489290034608392,8.956909255874173e-05,9.835755557900004e-05,0.00011987474883382661,0.00019670145335409263,0.00029092231457696673,0.00028353182916907764,0.00015773268862105436,0.00015368048819706543,0.0004836336897260588
O_returns_volatility,0.0004206192277515238,0.0001735323216137365,0.001511182403904624,0.0003464121006106161,0.0015371658458538237,0.00033994519667260574,0.000478410847451785,0.00036971007679724704,0.001657757135355471,0.0002230585299628124,0.0002302634485366136,0.0008825909221195319,0.0004280916476571886,0.001970523223251507,6.779357899339039e-05,0.0015582678990241784,0.0012180871104612776,0.00033833458205558405,0.0018736042458169842,0.0008169393234852717,0.00013732430920551073,0.0005078924061802183,0.00022453546106947496,0.00013632428664016793,0.0007075558374587758,0.0002442860335589316,0.0004853980457136489,0.00044583099329845996,0.0008376779982429199,0.0005678950557606122,0.0008792421159454007,0.0010410070116111886,0.0005969527643829024,0.0013387287870522862,0.00019682834618294602,0.0012857084363242684,0.0002087555498050648,0.0029654341732389534,0.0001897252274160983,0.00013844316927928775,0.0004706417794074396,0.00013347350561835808,0.00020938268029774458,9.38209869966157e-05,0.0004041146385719221,0.0006526833106983951,0.0006987277188028009,2.7526278162740295e-05,0.00019899453424373914,0.0011422838425834188
T_returns_volatility,0.00014723500474825708,0.00010868388779267916,0.0002613996009943708,9.609939635193522e-05,0.00035145566220237413,3.1895663430252356e-05,0.00010377062117540887,0.00013530131169885043,0.0002230585299628124,0.00035031317363904085,8.030660801796842e-05,0.00018457274740541317,0.00019251368242361944,0.000417791261048727,8.350620810570903e-05,0.0003985337451070023,0.00028069110436400855,0.00010178424711978602,0.0003270263190486807,0.0002319306960438879,0.00015032002183335873,0.0005323426425983433,0.00011435712944477176,8.668842377814077e-05,0.00021048956561162292,6.442411555536831e-05,9.120584494132056e-05,0.0001776368037251732,0.00015918487172804293,0.00014426401227142746,0.00022169585143199237,0.00030833708218528624,0.0001216199261094633,0.0002965132850867586,5.679539690885367e-05,0.00024945661323797847,8.113302243406589e-05,0.0007354666925179899,6.578778516825844e-05,7.664432360856221e-05,0.00013195315841377933,6.900189676318751e-05,5.393924777585e-05,3.2711743794034636e-05,9.179555849339788e-05,7.566433574735558e-05,0.00015088372672357014,-2.6871716655174495e-05,6.798100803650202e-05,0.0001964180265343487
PAYX_returns_volatility,0.0001940863139840618,0.00018608805902935123,0.0003156231647748094,0.00011766545476330096,0.0003635198837976897,8.62319749251578e-05,0.0001047461920912897,0.0001669730933008917,0.0002302634485366136,8.030660801796842e-05,0.0003412578572134768,0.00025343575397677646,0.00015290818723918696,0.0004001023457746707,0.0001307765010361091,0.00043367243081329586,0.0003108004127305621,0.00019573646814820652,0.00034577766512483945,0.0002443447683079247,0.00017693054640978035,1.907409168323623e-05,0.00018468448035760779,0.00015509718895241075,0.000205615739836964,0.00013313725764189515,0.00015691316698132347,0.00023507631441396228,0.0002449084315728172,0.00026926555150785173,0.000268687749586577,0.000280837208045716,0.00023434879261283818,0.00036522307477519994,0.00010957014865155039,0.0002604218051049183,0.0001427541328639954,0.0005879145082947251,0.00019195811636944958,0.00011955026408302145,0.0001996021604091387,0.00011627015809813353,0.0001632150387770353,0.00014475474918379628,0.00015036951916156714,0.0002311675044098911,0.00024108879130085818,0.0001282564099901644,9.66172834240277e-05,0.00028433798463051553
